College Name,Accreditation,Courses,Faculty Quality,Facilities,Reputation,Placements,State,City,Fees,Student Life,Alumni Network,Class Size,Support Services,Diversity,Global Exposure,Safety,Technology,Overall Rating
College 1,0,9,6,8,10,7,Andhra Pradesh,Visakhapatnam,High,10,6,Small,Yes,Low,Yes,Secure,8,4
College 2,1,8,9,5,10,9,Rajasthan,Jaipur,High,7,9,Large,Yes,Moderate,Yes,Insecure,7,10
College 3,0,9,8,10,10,6,Rajasthan,Udaipur,High,5,9,Large,Yes,High,No,Secure,7,8
College 4,1,10,7,6,4,9,Karnataka,Bangalore,Moderate,6,5,Large,Yes,Moderate,Yes,Secure,7,6
College 5,0,9,7,10,9,8,Uttar Pradesh,Kanpur,Low,9,8,Large,Yes,Low,Yes,Insecure,9,6
College 6,0,6,7,6,4,7,Kerala,Thiruvananthapuram,Moderate,10,9,Large,No,Moderate,No,Secure,10,10
College 7,1,6,9,5,5,4,Delhi,New Delhi,Low,6,5,Medium,Yes,Moderate,No,Insecure,9,8
College 8,1,8,10,9,7,7,Delhi,New Delhi,Low,5,9,Small,No,Moderate,No,Insecure,8,4
College 9,0,7,6,8,6,5,Karnataka,Mysore,Moderate,6,8,Medium,Yes,Low,No,Insecure,9,5
College 10,0,8,8,5,8,6,Kerala,Thiruvananthapuram,High,7,7,Small,Yes,High,Yes,Secure,8,7
College 11,1,8,5,10,8,9,Karnataka,Mysore,Moderate,6,8,Large,Yes,High,Yes,Insecure,7,10
College 12,0,6,6,5,6,7,Kerala,Thiruvananthapuram,High,9,8,Large,No,Low,Yes,Insecure,10,7
College 13,0,8,8,10,8,6,Andhra Pradesh,Vijayawada,Moderate,10,10,Small,No,Moderate,Yes,Secure,10,4
College 14,0,7,8,10,5,5,Gujarat,Ahmedabad,High,10,5,Medium,Yes,Moderate,No,Insecure,8,9
College 15,1,7,10,10,9,6,Rajasthan,Udaipur,High,8,7,Large,Yes,Moderate,No,Secure,10,8
College 16,0,6,10,6,10,4,Uttar Pradesh,Lucknow,High,10,7,Large,Yes,High,Yes,Insecure,10,5
College 17,0,9,10,6,8,7,Kerala,Kochi,High,9,6,Large,No,Low,No,Insecure,7,5
